iter	Passed	Remaining
0	45	4506
1	95	4659
2	151	4892
3	208	5007
4	261	4963
5	312	4891
6	365	4852
7	417	4802
8	471	4762
9	523	4710
10	577	4675
11	628	4610
12	678	4541
13	736	4525
14	792	4489
15	848	4453
16	904	4414
17	974	4439
18	1042	4446
19	1105	4420
20	1160	4364
21	1225	4345
22	1281	4289
23	1337	4234
24	1388	4166
25	1441	4102
26	1495	4044
27	1549	3984
28	1603	3925
29	1650	3851
30	1707	3800
31	1759	3739
32	1815	3686
33	1871	3633
34	1928	3581
35	1982	3525
36	2037	3469
37	2094	3417
38	2136	3340
39	2188	3282
40	2244	3229
41	2294	3168
42	2347	3112
43	2406	3062
44	2459	3006
45	2515	2953
46	2607	2940
47	2688	2912
48	2745	2857
49	2813	2813
50	2885	2772
51	2943	2717
52	2998	2659
53	3052	2600
54	3110	2545
55	3169	2490
56	3234	2440
57	3321	2405
58	3386	2353
59	3465	2310
60	3526	2254
61	3588	2199
62	3642	2139
63	3697	2079
64	3759	2024
65	3814	1965
66	3876	1909
67	3935	1851
68	4012	1802
69	4074	1746
70	4128	1686
71	4180	1625
72	4236	1566
73	4294	1508
74	4347	1449
75	4427	1398
76	4488	1340
77	4561	1286
78	4631	1231
79	4678	1169
80	4736	1110
81	4807	1055
82	4866	996
83	4931	939
84	4988	880
85	5042	820
86	5105	762
87	5177	706
88	5235	647
89	5287	587
90	5342	528
91	5395	469
92	5456	410
93	5517	352
94	5574	293
95	5640	235
96	5695	176
97	5808	118
98	5913	59
99	5994	0
