patch,agent,pre_patch_matches,post_patch_matches,old_delta,blops_delta,model_a_error,model_b_error,model_c_error
6.11,Raze,40,10,0.0,0.0,49.300893996056836,49.300893996056836,49.300893996056836
6.11,Breach,35,16,0.0,0.0,55.72848320820525,55.72848320820525,55.72848320820525
6.11,Skye,43,13,0.0,0.0,51.48875557886485,51.48875557886485,51.48875557886485
6.11,Killjoy,49,26,0.0,0.0,43.17393393527391,43.17393393527391,43.17393393527391
6.11,Omen,28,22,0.0,0.0,49.430336450449,49.430336450449,49.430336450449
6.11,Jett,40,21,0.0,0.0,78.4074748590064,78.4074748590064,78.4074748590064
6.11,Sova,14,15,0.0,0.0,55.200004243047,55.200004243047,55.200004243047
6.11,Astra,15,8,0.0,0.0,65.91560916250384,65.91560916250384,65.91560916250384
6.11,Kayo,8,9,0.0,0.0,36.247902356627954,36.247902356627954,36.247902356627954
6.11,Sage,4,2,0.0,0.0,50.196355540052906,50.196355540052906,50.196355540052906
6.11,Fade,11,4,0.0,0.0,55.10838039314286,55.10838039314286,55.10838039314286
6.11,Phoenix,0,1,0.0,0.0,71.0,71.0,71.0
6.11,Cypher,9,8,0.0,0.0,41.74938804296614,41.74938804296614,41.74938804296614
6.11,Viper,36,5,0.0,0.0,50.49767581884759,50.49767581884759,50.49767581884759
6.11,Brimstone,18,3,0.0,0.0,24.1247406074323,24.1247406074323,24.1247406074323
6.11,Yoru,1,2,0.0,0.0,79.65,79.65,79.65
6.11,Harbor,9,2,0.0,0.0,30.91984703086662,30.91984703086662,30.91984703086662
6.11,Neon,6,3,0.0,0.0,30.258546280864795,30.258546280864795,30.258546280864795
7.02,Killjoy,26,5,0.0,0.0,47.08580154325502,47.08580154325502,47.08580154325502
7.02,Sova,15,3,0.0,0.0,44.08428532641969,44.08428532641969,44.08428532641969
7.02,Kayo,9,3,0.0,0.0,64.67999450698515,64.67999450698515,64.67999450698515
7.02,Jett,21,3,0.0,0.0,35.42067751230678,35.42067751230678,35.42067751230678
7.02,Omen,22,5,0.0,0.0,17.686595294741135,17.686595294741135,17.686595294741135
7.02,Reyna,0,1,0.0,0.0,14.400000000000006,14.400000000000006,14.400000000000006
7.02,Skye,13,1,0.0,0.0,77.22080865810813,77.22080865810813,77.22080865810813
7.02,Harbor,2,1,0.0,0.0,55.220690749149895,55.220690749149895,55.220690749149895
7.02,Raze,10,3,0.0,0.0,57.42455866292271,57.42455866292271,57.42455866292271
7.02,Viper,5,3,0.0,0.0,56.177430973816136,56.177430973816136,56.177430973816136
7.02,Fade,4,2,0.0,0.0,6.103046333639185,6.103046333639185,6.103046333639185
12.0,Omen,5,31,0.0,0.0,32.42333983721828,32.42333983721828,32.42333983721828
12.0,Viper,3,34,0.0,0.0,26.800322202254474,26.800322202254474,26.800322202254474
12.0,Sova,3,34,0.0,0.0,25.602733804614406,25.602733804614406,25.602733804614406
12.0,Jett,3,4,0.0,0.0,35.841666903212115,35.841666903212115,35.841666903212115
12.0,Kayo,3,8,0.0,0.0,54.364757800697625,54.364757800697625,54.364757800697625
12.0,Neon,0,22,0.0,0.0,29.079906413517996,29.079906413517996,29.079906413517996
12.0,Brimstone,0,5,0.0,0.0,30.89809306802575,30.89809306802575,30.89809306802575
12.0,Yoru,0,38,0.0,0.0,42.183095389066935,42.183095389066935,42.183095389066935
12.0,Astra,0,30,0.0,0.0,30.47460817570333,30.47460817570333,30.47460817570333
12.0,Killjoy,5,8,0.0,0.0,21.295833333333338,21.295833333333338,21.295833333333338
12.0,Waylay,0,26,0.0,0.0,36.73759730619833,36.73759730619833,36.73759730619833
12.0,Fade,2,23,0.0,0.0,27.030362863385538,27.030362863385538,27.030362863385538
12.0,Chamber,0,6,0.0,0.0,31.76686224075878,31.76686224075878,31.76686224075878
12.0,Cypher,0,6,0.0,0.0,40.70520547303692,40.70520547303692,40.70520547303692
12.0,Breach,0,4,0.0,0.0,26.167917458301666,26.167917458301666,26.167917458301666
12.0,Tejo,0,5,0.0,0.0,40.72971044941762,40.72971044941762,40.72971044941762
12.0,Veto,0,8,0.0,0.0,38.91295183097044,38.91295183097044,38.91295183097044
12.0,Raze,3,3,0.0,0.0,44.57190164330847,44.57190164330847,44.57190164330847
12.0,Skye,1,3,0.0,0.0,27.755479599357784,27.755479599357784,27.755479599357784
12.0,Phoenix,0,7,0.0,0.0,23.120601700307937,23.120601700307937,23.120601700307937
12.0,Sage,0,2,0.0,0.0,45.57857258622893,45.57857258622893,45.57857258622893
12.0,Vyse,0,3,0.0,0.0,43.017009191457475,43.017009191457475,43.017009191457475
12.02,Raze,3,12,0.0,0.0,31.384802722550933,31.384802722550933,31.384802722550933
12.02,Sova,34,16,0.0,0.0,23.04456036298973,23.04456036298973,23.04456036298973
12.02,Yoru,38,32,0.0,0.0,41.255351689138564,41.255351689138564,41.255351689138564
12.02,Brimstone,5,5,0.0,0.0,21.35444582423063,21.35444582423063,21.35444582423063
12.02,Viper,34,23,0.0,0.0,36.4028654852333,36.4028654852333,36.4151641787008
12.02,Skye,3,5,0.0,0.0,44.347609177351664,44.347609177351664,44.347609177351664
12.02,Waylay,26,8,0.0,0.0,35.95858009522058,35.95858009522058,35.95858009522058
12.02,Vyse,3,1,0.0,0.0,47.19999999999999,47.19999999999999,47.19999999999999
12.02,Kayo,8,3,0.0,0.0,22.674803104177396,22.674803104177396,22.674803104177396
12.02,Omen,31,22,0.0,0.0,35.14702380629675,35.14702380629675,35.22388499190213
12.02,Fade,23,17,0.0,0.0,40.31605257342886,40.31605257342886,40.31605257342886
12.02,Astra,30,13,0.0,0.0,33.25845648102126,33.25845648102126,34.76172759512128
12.02,Veto,8,5,0.0,0.0,52.45333333333333,52.45333333333333,52.45333333333333
12.02,Neon,22,13,0.0,0.0,33.399487460678344,33.399487460678344,33.399487460678344
12.02,Tejo,5,4,0.0,0.0,22.362670309543894,22.362670309543894,22.362670309543894
12.02,Killjoy,8,5,0.0,0.0,43.10021946100439,43.10021946100439,43.10021948566438
12.02,Harbor,0,1,0.0,0.29236730822874923,31.963340073663176,31.963340073663176,31.963340073663176
12.02,Jett,4,4,0.0,0.0,28.52301923750258,28.52301923750258,28.523019237718223
12.02,Sage,2,2,0.0,0.0,27.126605342798563,27.126605342798563,27.126605342798563
12.02,Cypher,6,6,0.0,0.0,49.16009729318197,49.16009729318197,49.16009729318197
12.02,Chamber,6,3,0.0,0.0,55.70611960582235,55.70611960582235,55.70611960582235
12.03,Cypher,6,6,0.0,0.0,31.462803051022746,31.462803051022746,31.462803051022746
12.03,Sova,16,25,0.0,0.0,31.49739347160507,31.49739347160507,31.49739347160507
12.03,Yoru,32,33,0.0,0.0,32.010518195056676,32.010518195056676,32.010518195056676
12.03,Neon,13,28,0.0,0.0,34.15612065285244,34.15612065285244,34.15612065285244
12.03,Astra,13,17,0.0,0.0,39.799615566385334,39.799615566385334,39.799615566385334
12.03,Chamber,3,5,0.0,0.0,45.136514436856814,45.136514436856814,45.136514436856814
12.03,Omen,22,28,0.0,0.0,30.098174180026064,30.098174180026064,30.098174178907254
12.03,Viper,23,33,0.0,0.0,29.939839420036456,29.939839420036456,29.939839420126752
12.03,Killjoy,5,5,0.0,0.0,48.516892668538894,48.516892668538894,48.516892668538894
12.03,Fade,17,19,0.0,0.0,28.622548172717256,28.622548172717256,28.622548170507535
12.03,Waylay,8,12,0.0,0.0,34.86659591980954,34.86659591980954,34.86659591980954
12.03,Raze,12,5,0.0,0.0,37.75963057834843,37.75963057834843,37.75963056454149
12.03,Jett,4,3,0.0,0.0,37.7168602671265,37.7168602671265,37.71686026808908
12.03,Skye,5,6,0.0,0.0,27.441494337591312,27.441494337591312,27.441494337591312
12.03,Harbor,1,2,0.0,0.0,23.172820691319146,23.172820691319146,23.172820691319146
12.03,Brimstone,5,4,0.0,0.0,29.260101405493437,29.260101405493437,29.260101405493437
12.03,Phoenix,0,3,0.0,0.0,38.482391555575646,38.482391555575646,38.482391555575646
12.03,Tejo,4,2,0.0,0.0,31.2711108784776,31.2711108784776,31.2711108784776
12.03,Vyse,1,4,0.0,0.0,17.783935572872714,17.783935572872714,17.783935572872714
12.05,Viper,33,19,0.0,0.0,38.83885443753977,38.83885443721393,38.83885443724141
12.05,Neon,28,41,0.0,0.0,32.077539701418004,32.07753970182942,32.077539701829636
12.05,Sova,25,14,0.0,0.0,18.941483001010244,18.941483001010244,18.941483001408397
12.05,Iso,0,1,0.0,0.0,10.772589661478406,10.77258963760795,10.77258963760795
12.05,Harbor,2,2,0.0,0.0,27.13187981437116,27.131879830144875,27.131879830144875
12.05,Cypher,6,11,0.0,0.0,26.68078986732955,26.68078986732955,26.68078986732955
12.05,Kayo,0,4,0.0,0.0,15.495234525837738,15.495234525837738,15.495234525837738
12.05,Skye,6,18,0.0,0.04937500000000006,31.4689009783891,31.468900978844367,31.459217996602167
12.05,Astra,17,22,0.0,0.0,34.56210300160968,34.56210300071176,34.56210300071176
12.05,Phoenix,3,12,0.0,0.0,47.23197663243536,47.23197663243536,47.23197663243536
12.05,Killjoy,5,11,0.0,0.0,43.13621159810375,43.13621160088301,43.06501847214709
12.05,Omen,28,20,0.0,0.0,27.083212336754134,27.08321233693386,27.08321233626803
12.05,Jett,3,5,0.0,0.0,38.81182341869625,38.81182342031903,38.81182342031903
12.05,Fade,19,15,0.0,0.0,26.239751350195682,26.239751350195682,26.239751350195682
12.05,Vyse,4,2,0.0,0.0,52.22642657596069,52.22642657596069,52.22642657596069
12.05,Tejo,2,4,0.0,0.0,17.181619693722865,17.181619693722865,17.181619693722865
12.05,Waylay,12,16,0.0,0.0,27.314006500765096,27.314006500765096,27.314006500765096
12.05,Brimstone,4,9,0.0,0.0,36.5351627980565,36.53516279873272,36.53516279948864
12.05,Yoru,33,1,0.0,0.09750000000000003,91.5,91.5,91.5
12.05,Gekko,0,1,0.0,0.0,65.74980442816982,65.74980442816982,65.74980442816982
12.05,Deadlock,0,3,0.0,0.0,29.773259685997562,29.773259685997562,29.773259685997562
12.05,Chamber,5,13,0.0,0.0,40.12114813753208,40.121148138136654,40.121148138136654
12.05,Raze,5,8,0.0,0.0,44.58807727295925,44.58807727295925,44.58807727409599
12.05,Breach,0,5,0.0,0.0,26.351843592478,26.351843592478,26.351843592478
12.05,Veto,0,2,0.0,0.0,44.447277490277116,44.447277490277116,44.447277490277116
12.05,Sage,0,1,0.0,0.07269494811630228,89.7615944078276,90.32090996401263,90.32090996401263
12.06,Raze,8,42,0.0,0.0,37.26501761938629,37.134509706398795,37.18630147915328
12.06,Neon,41,147,0.0,0.0,36.20296581477959,36.237009311567796,36.23700931156782
12.06,Fade,15,59,0.0,0.0,36.99130458797123,36.94001877431511,36.94001877433737
12.06,Astra,22,44,0.0,0.0,33.797223941643544,33.83913069828293,33.83913069880256
12.06,Viper,19,105,0.0,0.024843749999999942,37.2119183067996,37.2117943256834,37.224543764112745
12.06,Cypher,11,29,0.0,0.0,34.880821366844245,34.78525534023315,34.78525534023315
12.06,Phoenix,12,37,0.0,0.0,35.31140414724577,35.180297223607276,35.180297223607276
12.06,Sova,14,61,0.0,0.0,34.38019676249382,34.32863030858194,34.30944842201427
12.06,Waylay,16,18,0.0,0.025000000000000022,38.35851641218062,38.410516281107206,38.38899443443545
12.06,Skye,18,47,0.0,0.0,37.270260819741054,37.286445421380954,37.27220582351952
12.06,Omen,20,93,0.0,0.0,30.500503663508077,30.50955370276029,30.509553703294916
12.06,Killjoy,11,14,0.0,0.0,35.038834263964866,35.034581552828875,35.050566264760015
12.06,Harbor,2,15,0.0,0.0,31.619701578014322,31.427273536956665,31.363468042809398
12.06,Chamber,13,27,0.0,0.0,35.64632256919425,35.82768376099357,35.82768376099357
12.06,Brimstone,9,21,0.0,0.0,37.0474218821272,37.07383645742307,37.07383645742307
12.06,Breach,5,6,0.0,0.0,27.64477767253658,27.73846618583805,27.73846618583805
12.06,Veto,2,4,0.0,0.0,76.92561093792594,77.42089897311035,77.42089897311035
12.06,Vyse,2,31,0.0,0.0,32.5815575910811,32.6241061027755,32.6241061027755
12.06,Kayo,4,12,0.0,0.0,28.314975090714672,28.23148342069523,28.23148342069523
12.06,Tejo,4,10,0.0,0.0,29.754110736387542,29.65997126190205,29.65997126190205
