patch_version,release_date
v12.00,"January 6th, 2026"
v12.01,"January 21st, 2026"
v12.02,"February 3rd, 2026"
v12.03,"February 18th, 2026"
v12.04,"March 3rd, 2026"
v12.05,"March 17th, 2026"
v12.06,"March 31st, 2026"
v12.07,"April 14th, 2026"
v12.08,"April 28th, 2026"
v12.09,"May 12th, 2026"
v12.10,"May 27th, 2026"
v12.11,"May 27th, 2026"
v10.00,"January 7th, 2025"
v10.01,"January 22nd, 2025"
v10.02,"February 4th, 2025"
v10.03,"February 19th, 2025"
v10.04,"March 4th, 2025"
v10.05,"March 18th, 2025"
v10.06,"April 1st, 2025"
v10.07,"April 15th, 2025"
v10.08,"April 29th, 2025"
v10.09,"May 13th, 2025"
v10.10,"May 28th, 2025"
v10.11,"June 10th, 2025"
v11.00,"June 24th, 2025"
v11.01,"July 14th, 2025"
v11.02,"July 29th, 2025"
v11.04,"August 19th, 2025"
v11.05,"September 3rd, 2025"
v11.06,"September 16th, 2025"
v11.07,"September 30th, 2025"
v11.07b,"October 7th, 2025"
v11.08,"October 14th, 2025"
v11.09,"October 28th, 2025"
v11.10,"November 11th, 2025"
v11.11,"December 2nd, 2025"
v9.0,"June 25th, 2024"
v9.01,"July 16th, 2024"
v9.02,"July 30th, 2024"
v9.03,"August 13th, 2024"
v9.04,"August 27th, 2024"
v9.05,"September 10th, 2024"
v9.06,"September 24th, 2024"
v9.07,"October 8th, 2024"
v9.08,"October 22nd, 2024"
v9.09,"November 5th, 2024"
v9.10,"November 19th, 2024"
v9.11,"December 10th, 2024"
v8.0,"January 9th, 2024"
v8.01,"January 23rd, 2024"
v8.02,"February 6th, 2024"
v8.03,"February 21st, 2024"
v8.04,"March 5th, 2024"
v8.05,"March 26th, 2024"
v8.07,"April 16th, 2024"
v8.08,"April 30th, 2024"
v8.09,"May 14th, 2024"
v8.10,"May 29th, 2024"
v8.11,"June 11th, 2024"
v7.0,"June 27th, 2023"
v7.01,"July 11th, 2023"
v7.02,"August 1st, 2023"
v7.03,"August 8th, 2023"
v7.04,"August 29th, 2023"
v7.05,"September 6th, 2023"
v7.06,"September 19th, 2023"
v7.07,"October 3rd, 2023"
v7.08,"October 17th, 2023"
v7.09,"October 31st, 2023"
v7.10,"November 14th, 2023"
v7.12,"December 5th, 2023"
v6.0,"January 10th, 2023"
v6.01,"January 18th, 2023"
v6.02,"February 7th, 2023"
v6.03,"February 14th, 2023"
v6.04,"March 7th, 2023"
v6.05,"March 14th, 2023"
v6.06,"March 28th, 2023"
v6.07,"April 11th, 2023"
v6.08,"April 25th, 2023"
v6.10,"May 23rd, 2023"
v6.11,"June 6th, 2023"
v5.0,"June 22nd, 2022"
v5.01,"July 12th, 2022"
v5.03,"August 9th, 2022"
v5.04,"August 23rd, 2022"
v5.05,"September 7th, 2022"
v5.06,"September 20th, 2022"
v5.07,"October 4th, 2022"
v5.08,"October 18th, 2022"
v5.09,"November 1st, 2022"
v5.10,"November 15th, 2022"
v5.12,"December 6th, 2022"
v4.0,"January 11th, 2022"
v4.01,"January 19th, 2022"
v4.02,"February 1st, 2022"
v4.03,"February 15th, 2022"
v4.04,"March 1st, 2022"
v4.05,"March 22nd, 2022"
v4.07,"April 12th, 2022"
v4.08,"April 27th, 2022"
v4.09,"May 10th, 2022"
v4.10,"May 24th, 2022"
v4.11,"June 7th, 2022"
v3.0,"June 22nd, 2021"
v3.01,"July 7th, 2021"
v3.02,"July 20th, 2021"
v3.03,"August 10th, 2021"
v3.04,"August 24th, 2021"
v3.05,"September 8th, 2021"
v3.06,"September 21st, 2021"
v3.07,"October 5th, 2021"
v3.08,"October 19th, 2021"
v3.09,"November 2nd, 2021"
v3.10,"November 16th, 2021"
v3.12,"December 7th, 2021"
v2.0,"January 12th, 2021"
v2.01,"January 20th, 2021"
v2.02,"February 2nd, 2021"
v2.03,"February 17th, 2021"
v2.04,"March 2nd, 2021"
v2.05,"March 16th, 2021"
v2.06,"March 30th, 2021"
v2.07,"April 13th, 2021"
v2.08,"April 27th, 2021"
v2.09,"May 11th, 2021"
v2.11,"June 8th, 2021"
v1.0,"June 2nd, 2020"
v1.01,"June 9th, 2020"
v1.02,"June 23rd, 2020"
v1.03,"July 7th, 2020"
v1.04,"July 21st, 2020"
v1.05,"August 4th, 2020"
v1.06,"August 20th, 2020"
v1.07,"September 1st, 2020"
v1.08,"September 15th, 2020"
v1.09,"September 29th, 2020"
v1.10,"October 13th, 2020"
v1.11,"October 27th, 2020"
v1.12,"November 10th, 2020"
v1.14,"December 8th, 2020"
v0.47+,"April 21st, 2020"
v0.49,"April 28th, 2020"
v0.50,"May 12th, 2020"
